Image Index,PSNR,SSIM,LPIPS
1,31.009016848957437,0.8680903907368109,0.2949507236480713
2,30.394904656581623,0.8084285164756438,0.20562626421451569
3,32.09350434803383,0.8758526070273954,0.20484693348407745
4,30.34710971570115,0.8594464412306787,0.2681254744529724
5,32.224902344571326,0.906114182685862,0.16899649798870087
6,32.898328849074446,0.9093601903121027,0.1841675341129303
7,32.210095560710464,0.8998068530393839,0.16185536980628967
8,31.882485883309272,0.8654433068109969,0.18165187537670135
9,33.347488401286284,0.9154163996131628,0.16916123032569885
10,32.50605341792284,0.9239007146682449,0.20394912362098694
11,32.04743863264929,0.9073986806934639,0.18620948493480682
12,32.72875260746738,0.9077357736909326,0.16207970678806305
13,31.426429240959834,0.8770520976272933,0.20767952501773834
14,33.44211273827604,0.915705829643575,0.17587527632713318
15,33.824286293700865,0.937441409102532,0.1972329467535019
16,31.85894691576628,0.8704837580023207,0.20097246766090393
17,31.340824226028936,0.8747333021580072,0.20129099488258362
18,31.302133762996405,0.8977343480153895,0.18834242224693298
19,32.291257315707604,0.8999950558019293,0.25253182649612427
20,35.05647549476712,0.9675645377811585,0.14035025238990784
21,32.28001660875719,0.9030162200839772,0.1745135486125946
22,32.43402425454762,0.8936186513465343,0.17314746975898743
23,30.365818405698874,0.8815457267870114,0.18851138651371002
24,30.989862545077784,0.8753600020771851,0.2063807249069214
25,31.693333672648897,0.8921421102431859,0.1747816950082779
26,32.142728577684714,0.9015878528435888,0.20558764040470123
27,31.56610758943048,0.8850569114996588,0.17744553089141846
28,33.69107413606263,0.923443310567627,0.22556884586811066
29,32.710268946474685,0.9072378448367853,0.2434290200471878
30,31.918959092886116,0.8779975622551196,0.19500324130058289
31,30.4049880461683,0.8579431466199718,0.20630815625190735
32,33.31644407231482,0.9456883184857544,0.18667897582054138
33,32.84435567495602,0.8867670804760545,0.15894562005996704
34,30.272692671938803,0.8525137675984055,0.19190627336502075
35,31.06800351522621,0.867895294864995,0.2397475689649582
36,31.879211898643902,0.8848634684920338,0.20925989747047424
37,31.900119282470868,0.8816672447990638,0.20356062054634094
38,31.931867008038388,0.888455342654811,0.18551293015480042
39,32.404535395124256,0.6719325153532568,0.08824913948774338
40,28.435444402876534,0.8001572150234875,0.2290046066045761
41,29.56314315286818,0.8241930367124576,0.22209924459457397
42,33.91108899292524,0.9401513067637698,0.21375134587287903
43,31.69734752097709,0.8543620469792053,0.1947825700044632
44,31.97901884304055,0.8937273879855647,0.2203277349472046
45,31.76134584019878,0.871809758479898,0.25974002480506897
46,31.870865255328866,0.8744327276315111,0.19488553702831268
47,32.181665948928675,0.8684599769887622,0.16898754239082336
48,32.039973837620636,0.9019540205696173,0.16640934348106384
49,33.0213888004116,0.9270048365367416,0.24933451414108276
50,31.959115033985796,0.907107698318557,0.17535096406936646
51,31.134407336520912,0.8381777406548736,0.19297900795936584
52,31.447408434018783,0.8837482436968785,0.1762840896844864
53,31.757849991749474,0.8907700396056597,0.18602392077445984
54,34.34459075779137,0.939011032423223,0.18360859155654907
55,31.706875837944324,0.8894540359256806,0.1778324544429779
56,31.66859446151593,0.9064962280447583,0.2216806858778
57,32.50076004098224,0.9225662978564015,0.16775572299957275
58,32.82625510627938,0.9034746187889307,0.21360565721988678
59,31.87053863567661,0.879025065337175,0.2679670453071594
60,31.837645357489347,0.8888390225166019,0.17890091240406036
61,31.214473426692443,0.8659636555066142,0.24410079419612885
62,32.725813073531576,0.8765789658959133,0.1852779984474182
63,31.805406816147507,0.8910373447211826,0.2261859029531479
64,33.849586794497654,0.9235955255492971,0.22986486554145813
65,32.59282257615099,0.884910405779736,0.2060934454202652
66,36.72754352292862,0.9645829171107623,0.18204878270626068
67,31.39021599909549,0.8518324433962668,0.21335601806640625
