Image Index,PSNR,SSIM,LPIPS
188,34.9525,0.9211,0.1383
189,34.8909,0.9274,0.1526
190,35.3361,0.9246,0.1339
191,33.3956,0.9060,0.1558
192,33.9473,0.8852,0.1585
193,33.7212,0.8968,0.1364
194,33.8713,0.9225,0.1475
195,33.9256,0.9056,0.1953
196,35.2674,0.9243,0.1123
197,34.5020,0.8999,0.1958
198,34.2423,0.9046,0.1648
199,37.3035,0.9529,0.1934
200,34.9139,0.9279,0.1970
201,34.6184,0.8902,0.1435
202,33.1735,0.8054,0.0994
203,34.4147,0.9050,0.1285
204,34.7349,0.9127,0.1503
205,34.1586,0.8938,0.1604
206,34.3447,0.9176,0.1419
207,35.6617,0.9285,0.1833
208,35.7104,0.9280,0.2145
209,36.9468,0.9509,0.1785
210,32.9833,0.8742,0.1578
211,36.9747,0.9417,0.1865
212,34.1828,0.8975,0.1804
213,36.5021,0.9484,0.1067
214,35.4683,0.8086,0.0694
215,36.0255,0.9433,0.1861
216,34.3554,0.9251,0.1397
217,33.3312,0.8917,0.1687
218,34.3752,0.9073,0.1657
219,32.3218,0.8825,0.1514
220,35.9861,0.9214,0.1827
221,36.7443,0.9476,0.1703
222,34.2685,0.9100,0.1278
223,34.0901,0.8901,0.1451
224,34.5138,0.9092,0.1568
225,33.3752,0.8691,0.1388
226,34.2051,0.9084,0.1422
227,33.9987,0.8934,0.1315
228,33.3689,0.8958,0.1600
229,35.8628,0.9299,0.1465
230,34.1702,0.9024,0.1589
231,33.7933,0.9012,0.1796
232,33.5493,0.8712,0.1668
233,33.8926,0.8642,0.1641
234,34.2707,0.9112,0.1550
235,32.8419,0.8728,0.1529
236,35.1602,0.9303,0.1518
237,34.4816,0.9062,0.1493
238,34.1708,0.9099,0.1566
239,35.5725,0.8988,0.1866
240,34.8901,0.9201,0.1882
241,33.8728,0.8755,0.1363
242,33.8318,0.9006,0.1278
243,34.1630,0.9071,0.1102
244,33.8364,0.9038,0.1415
245,32.4625,0.8667,0.2132
246,33.4797,0.8936,0.2074
247,34.0296,0.9030,0.2404
248,33.8313,0.8876,0.1224
249,35.5698,0.9325,0.1536
250,34.9265,0.9231,0.1311
251,35.1834,0.9159,0.1302
252,35.3912,0.9252,0.1460
253,35.0609,0.9362,0.2040
254,34.8668,0.9225,0.1465
255,34.8970,0.9169,0.1489
256,34.3259,0.9063,0.1626
257,34.0830,0.9083,0.1613
258,33.5842,0.8870,0.1743
259,34.8280,0.9185,0.1917
260,34.4510,0.9015,0.1344
261,34.3827,0.9049,0.1386
262,35.5150,0.9300,0.1461
263,34.2099,0.8879,0.1298
264,34.2165,0.9220,0.1223
265,34.6515,0.9093,0.1277
266,36.6588,0.9543,0.1360
267,34.0916,0.9012,0.1450
268,33.7445,0.8922,0.1558
269,36.3421,0.9433,0.1078
270,33.7770,0.8586,0.1413
271,36.4973,0.9184,0.2258
272,33.9827,0.8868,0.1367
273,33.9694,0.8401,0.1680
274,32.4646,0.8765,0.1654
275,35.2048,0.9323,0.1551
276,34.4963,0.9075,0.1466
277,33.9885,0.8734,0.1622
278,34.8518,0.9175,0.1537
279,33.4248,0.9056,0.1500
280,35.0798,0.9170,0.1509
281,34.3088,0.9064,0.1613
282,34.5014,0.9202,0.1818
283,33.3153,0.9033,0.1556
284,31.7679,0.8520,0.1818
285,34.8928,0.9354,0.1556
286,33.5652,0.9056,0.1386
287,33.8542,0.8869,0.1234
288,34.3471,0.9078,0.1344
289,35.0215,0.9241,0.1626
290,34.1084,0.8829,0.1469
291,33.7163,0.9017,0.1403
292,33.9867,0.9081,0.1245
293,33.5571,0.8917,0.1599
294,33.5227,0.8855,0.1748
295,34.3045,0.8749,0.1315
296,32.3062,0.8838,0.1769
297,34.2672,0.8961,0.1376
298,34.4897,0.9147,0.1628
299,33.8793,0.8209,0.1392
300,34.9696,0.9272,0.1455
301,32.1059,0.8889,0.1523
302,37.5862,0.9520,0.2483
303,35.7116,0.9487,0.1170
304,33.8089,0.9020,0.1557
305,31.0009,0.8269,0.2132
306,36.1059,0.9390,0.1960
307,34.5283,0.9056,0.1579
308,34.0573,0.8780,0.1377
309,34.3564,0.8872,0.1240
310,34.1858,0.9269,0.1604
311,34.5250,0.9159,0.1241
312,33.5478,0.8984,0.1482
313,34.1935,0.9145,0.1433
314,34.6275,0.7579,0.0804
315,34.7585,0.9233,0.1505
316,34.3243,0.9027,0.1406
317,33.4645,0.8788,0.1596
318,34.7267,0.9041,0.1420
319,34.7310,0.9172,0.1569
320,34.3505,0.9171,0.1347
321,36.5666,0.9453,0.2080
322,33.7065,0.9034,0.1477
323,34.5183,0.9115,0.2226
324,38.1053,0.9644,0.1512
325,34.7513,0.9357,0.2019
326,34.4565,0.8944,0.1621
327,34.4002,0.8971,0.1587
328,34.1637,0.9213,0.1213
329,34.3838,0.9010,0.1483
330,33.4487,0.8661,0.1486
331,33.7177,0.8916,0.1690
332,34.0797,0.9095,0.1574
333,34.1093,0.9041,0.1807
334,35.0549,0.9137,0.1222
335,35.2843,0.9283,0.2003
336,33.7968,0.8939,0.1744
337,35.1964,0.9254,0.1735
338,35.4358,0.9435,0.1527
339,34.4462,0.9080,0.1702
340,34.3677,0.9025,0.1496
341,34.3398,0.8895,0.0993
342,37.3364,0.9536,0.1237
343,34.7226,0.9186,0.1555
344,34.7500,0.8976,0.1063
345,34.2408,0.9037,0.1894
346,34.1935,0.9002,0.1862
347,34.0340,0.8982,0.1312
348,35.3122,0.9214,0.1661
349,34.8225,0.9176,0.2002
350,33.8776,0.9015,0.1973
351,33.7781,0.8894,0.1444
352,33.0106,0.8948,0.1472
353,33.5509,0.8810,0.1607
354,35.2708,0.9281,0.1708
355,34.7900,0.9130,0.1581
356,33.3906,0.8933,0.1904
357,34.1138,0.8771,0.1092
358,32.4997,0.8688,0.1911
359,33.5771,0.8685,0.1545
360,36.6494,0.9496,0.1403
361,34.4895,0.9151,0.1309
362,35.3337,0.9310,0.1146
363,33.5437,0.9032,0.1230
364,34.2441,0.8888,0.1757
365,34.1670,0.9108,0.1297
366,33.9680,0.8975,0.1314
367,32.7120,0.8692,0.1888
368,36.1547,0.9257,0.2333
369,38.3019,0.9667,0.1344
370,33.3872,0.8502,0.1462
371,33.2420,0.8769,0.1735
372,36.0724,0.9197,0.2235
373,32.9682,0.8758,0.1994
374,36.8732,0.9275,0.2043
375,34.0473,0.9142,0.1264
376,33.6132,0.9083,0.1179
377,32.9282,0.8819,0.1969
378,34.6455,0.9194,0.1678
379,33.4603,0.8990,0.1347
380,33.5955,0.8881,0.1399
381,35.2806,0.8876,0.1188
382,34.2906,0.8898,0.1451
383,33.7220,0.8885,0.1236
384,34.2482,0.9186,0.1346
385,36.2332,0.9228,0.2192
386,32.4580,0.9042,0.1141
387,34.7560,0.9147,0.1500
